Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Page_BugsUI Add Product/defaultAssigne_inputbox""), ""kumar nagendra"")",Chrome 74.0.3729.131,,,2019-05-06 10:12:47,2019-05-06 10:12:47,0.318s,PASSED
"click(findTestObject(""Page_BugsUI Add Product/span_kumar.nagendra""))",Chrome 74.0.3729.131,,,2019-05-06 10:12:47,2019-05-06 10:12:49,1.125s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:12:49,2019-05-06 10:12:51,2.011s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI Add Product/AddProduct_button"")))",Chrome 74.0.3729.131,,,2019-05-06 10:12:51,2019-05-06 10:12:51,0.057s,PASSED
"setText(findTestObject(""Page_BugsUI Add Product/input_component""), ""Auto-1"")",Chrome 74.0.3729.131,,,2019-05-06 10:12:51,2019-05-06 10:12:51,0.179s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/componentDescription""), 1)",Chrome 74.0.3729.131,,,2019-05-06 10:12:51,2019-05-06 10:12:51,0.041s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI Add Product/AddProduct_button"")))",Chrome 74.0.3729.131,,,2019-05-06 10:12:51,2019-05-06 10:12:51,0.037s,PASSED
"setText(findTestObject(""Page_BugsUI Add Product/componentDescription""), ""Auto-1 description"")",Chrome 74.0.3729.131,,,2019-05-06 10:12:51,2019-05-06 10:12:51,0.219s,PASSED
"scrollToElement(findTestObject(""Page_BugsUI Add Product/AddProduct_button""), 1)",Chrome 74.0.3729.131,,,2019-05-06 10:12:51,2019-05-06 10:12:51,0.030s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:12:51,2019-05-06 10:12:53,2.010s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI Add Product/AddProduct_button"")))",Chrome 74.0.3729.131,,,2019-05-06 10:12:53,2019-05-06 10:12:53,0.048s,PASSED
"clearText(findTestObject(""Page_BugsUI Add Product/input_name""))",Chrome 74.0.3729.131,,,2019-05-06 10:12:53,2019-05-06 10:12:53,0.096s,PASSED
"setText(findTestObject(""Page_BugsUI Add Product/input_name""), ""BugsUITest"")",Chrome 74.0.3729.131,,,2019-05-06 10:12:53,2019-05-06 10:12:53,0.210s,PASSED
"click(findTestObject(""Page_BugsUI Add Product/AddProduct_button""))",Chrome 74.0.3729.131,,,2019-05-06 10:12:53,2019-05-06 10:12:54,0.092s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:12:54,2019-05-06 10:12:56,2.009s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/div_Product BugsUITest already""), 1)",Chrome 74.0.3729.131,,,2019-05-06 10:12:56,2019-05-06 10:12:56,0.044s,PASSED
"text = getText(findTestObject(""Page_BugsUI Add Product/div_Product BugsUITest already""))",Chrome 74.0.3729.131,,,2019-05-06 10:12:56,2019-05-06 10:12:56,0.046s,PASSED
"if (text.equals(""Product BugsUITest already exists.""))",Chrome 74.0.3729.131,,,2019-05-06 10:12:56,2019-05-06 10:12:56,0.002s,PASSED
"clearText(findTestObject(""Page_BugsUI Add Product/input_name""))",Chrome 74.0.3729.131,,,2019-05-06 10:12:56,2019-05-06 10:12:56,0.058s,PASSED
"setText(findTestObject(""Page_BugsUI Add Product/input_name""), ""1-Automation-testing"")",Chrome 74.0.3729.131,,,2019-05-06 10:12:56,2019-05-06 10:12:56,0.254s,PASSED
"click(findTestObject(""Page_BugsUI Add Product/AddProduct_button""))",Chrome 74.0.3729.131,,,2019-05-06 10:12:56,2019-05-06 10:12:56,0.065s,PASSED
delay(1),Chrome 74.0.3729.131,,,2019-05-06 10:12:56,2019-05-06 10:12:57,1.003s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/div_Product_added_success""), 1)",Chrome 74.0.3729.131,,,2019-05-06 10:12:57,2019-05-06 10:12:57,0.043s,PASSED
"successMsg = getText(findTestObject(""Page_BugsUI Add Product/div_Product_added_success""))",Chrome 74.0.3729.131,,,2019-05-06 10:12:57,2019-05-06 10:12:57,0.060s,PASSED
"if (successMsg.equals(""Product has been added successfully.""))",Chrome 74.0.3729.131,,,2019-05-06 10:12:57,2019-05-06 10:12:57,0.001s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:12:57,2019-05-06 10:12:59,2.002s,PASSED
,,,,,,,
Test Cases/Add_Product/AddedProductAvailability,Chrome 74.0.3729.131,,,2019-05-06 10:12:59,2019-05-06 10:13:16,16.654s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:12:59,2019-05-06 10:13:01,2.003s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/a_New Bug""), 0))",Chrome 74.0.3729.131,,,2019-05-06 10:13:01,2019-05-06 10:13:02,0.144s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 10:13:02,2019-05-06 10:13:05,3.005s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI New Bug/span_Raise New Bug""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:13:05,2019-05-06 10:13:06,1.631s,PASSED
"setText(findTestObject(""Page_BugsUI New Bug/div_Choose Classification""), ""Software"")",Chrome 74.0.3729.131,,,2019-05-06 10:13:06,2019-05-06 10:13:07,0.613s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:13:07,2019-05-06 10:13:09,2.002s,PASSED
"click(findTestObject(""Page_BugsUI New Bug/span_Software""))",Chrome 74.0.3729.131,,,2019-05-06 10:13:09,2019-05-06 10:13:09,0.137s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 10:13:09,2019-05-06 10:13:12,3.003s,PASSED
"setText(findTestObject(""Page_BugsUI New Bug/div_Choose Package""), ""1-Automation-testing"")",Chrome 74.0.3729.131,,,2019-05-06 10:13:12,2019-05-06 10:13:13,0.506s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI New Bug/span_1-Automation-testing""), 0))",Chrome 74.0.3729.131,,,2019-05-06 10:13:13,2019-05-06 10:13:13,0.322s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 10:13:13,2019-05-06 10:13:16,3.003s,PASSED
,,,,,,,
Test Cases/Add_Product/Delete_added_product,Chrome 74.0.3729.131,,,2019-05-06 10:13:16,2019-05-06 10:13:50,34.241s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/button_Product""), 10))",Chrome 74.0.3729.131,,,2019-05-06 10:13:16,2019-05-06 10:13:18,2.288s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-06 10:13:18,2019-05-06 10:13:22,4.002s,PASSED
if (verifyAlertPresent(7)),Chrome 74.0.3729.131,,,2019-05-06 10:13:22,2019-05-06 10:13:22,0.064s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-06 10:13:22,2019-05-06 10:13:26,4.004s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/span_Edit Product""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:13:26,2019-05-06 10:13:26,0.040s,PASSED
"setText(findTestObject(""Page_BugsUI Edit Product/div_Choose Classification""), ""Software"")",Chrome 74.0.3729.131,,,2019-05-06 10:13:26,2019-05-06 10:13:27,0.278s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:13:27,2019-05-06 10:13:29,2.003s,PASSED
"click(findTestObject(""Page_BugsUI Edit Product/span_Software""))",Chrome 74.0.3729.131,,,2019-05-06 10:13:29,2019-05-06 10:13:29,0.115s,PASSED
"setText(findTestObject(""Page_BugsUI Edit Product/div_Choose Product""), ""1-Automation-testing"")",Chrome 74.0.3729.131,,,2019-05-06 10:13:29,2019-05-06 10:13:29,0.358s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:13:29,2019-05-06 10:13:31,2.004s,PASSED
"click(findTestObject(""Page_BugsUI Edit Product/span_1-Automation-testing""))",Chrome 74.0.3729.131,,,2019-05-06 10:13:31,2019-05-06 10:13:31,0.127s,PASSED
"scrollToElement(findTestObject(""Page_BugsUI Edit Product/button_Delete Product""), 1)",Chrome 74.0.3729.131,,,2019-05-06 10:13:31,2019-05-06 10:13:31,0.048s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/button_Delete Product""), 0))",Chrome 74.0.3729.131,,,2019-05-06 10:13:31,2019-05-06 10:13:37,5.192s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 10:13:37,2019-05-06 10:13:40,3.005s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/confirmDeleteProduct_popup""), 0))",Chrome 74.0.3729.131,,,2019-05-06 10:13:40,2019-05-06 10:13:40,0.209s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 10:13:40,2019-05-06 10:13:43,3.005s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/button_Delete Product""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:13:43,2019-05-06 10:13:43,0.044s,PASSED
